Element,Radionuclide,Common name,Latin name,Compartment,CR,C_plant,C_soil,Country,Site,K-G class,Contamination,Experiment,Soil depth
U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,4.10E-01,4.20E+00,Ghana,Tano basin (CS1),Am,N,F,0-20
U,U-238,Cassava,Manihot esculenta,Roots,6.00E-02,5.30E-01,9.00E+00,Ghana,Tano basin (CS2),Am,N,F,0-20
U,U-238,Cassava,Manihot esculenta,Roots,1.20E-01,6.40E-01,5.20E+00,Ghana,Tano basin (CS3),Am,N,F,0-20
U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,8.90E-01,8.90E+00,Ghana,Tano basin (CS4),Am,N,F,0-20
U,U-238,Cassava,Manihot esculenta,Roots,1.00E-01,1.00E+00,1.10E+01,Ghana,Tano basin (CS5),Am,N,F,0-20
Th,Th-232,Cassava,Manihot esculenta,Roots,1.00E-01,6.20E-01,6.20E+00,Ghana,Tano basin (CS1),Am,N,F,0-20
Th,Th-232,Cassava,Manihot esculenta,Roots,2.00E-02,4.90E-01,3.20E+01,Ghana,Tano basin (CS2),Am,N,F,0-20
Th,Th-232,Cassava,Manihot esculenta,Roots,8.00E-02,5.70E-01,7.40E+00,Ghana,Tano basin (CS3),Am,N,F,0-20
Th,Th-232,Cassava,Manihot esculenta,Roots,1.00E-02,1.60E-01,1.70E+01,Ghana,Tano basin (CS4),Am,N,F,0-20
Th,Th-232,Cassava,Manihot esculenta,Roots,4.00E-02,7.50E-01,1.80E+01,Ghana,Tano basin (CS5),Am,N,F,0-20
K,K-40,Cassava,Manihot esculenta,Roots,2.80E-01,3.70E+01,1.30E+02,Ghana,Tano basin (CS1),Am,N,F,0-20
K,K-40,Cassava,Manihot esculenta,Roots,1.20E-01,4.10E+01,3.40E+02,Ghana,Tano basin (CS2),Am,N,F,0-20
K,K-40,Cassava,Manihot esculenta,Roots,4.00E-02,8.50E+00,1.90E+02,Ghana,Tano basin (CS3),Am,N,F,0-20
K,K-40,Cassava,Manihot esculenta,Roots,8.00E-02,2.70E+01,3.50E+02,Ghana,Tano basin (CS4),Am,N,F,0-20
K,K-40,Cassava,Manihot esculenta,Roots,7.00E-02,1.40E+01,2.10E+02,Ghana,Tano basin (CS5),Am,N,F,0-20
Ra,Ra-226,Rice,Oryza sativa,Grains,1.70E-01,1.50E+00,9.10E+00,Malaysia,"Sungai Besar, Selangor State",Af,N,F,0-5
Th,Th-232,Rice,Oryza sativa,Grains,1.80E-01,3.60E+00,2.10E+01,Malaysia,"Sungai Besar, Selangor State",Af,N,F,0-5
K,K-40,Rice,Oryza sativa,Grains,5.20E-01,6.00E+01,1.10E+02,Malaysia,"Sungai Besar, Selangor State",Af,N,F,0-5
Ra,Ra-226,Rice,Oryza sativa,Grains,3.20E-01,2.80E+00,8.90E+00,Malaysia,"Kampung Permatang Tok Labu, Penang State",Af,N,F,0-5
Th,Th-232,Rice,Oryza sativa,Grains,4.70E-01,7.50E+00,1.60E+01,Malaysia,"Kampung Permatang Tok Labu, Penang State",Af,N,F,0-5
K,K-40,Rice,Oryza sativa,Grains,1.00E+00,8.90E+01,9.00E+01,Malaysia,"Kampung Permatang Tok Labu, Penang State",Af,N,F,0-5
Ra,Ra-226,Rice,Oryza sativa,Grains,3.20E-01,2.30E+00,7.20E+00,Malaysia,"Kampung Sakan, Kedah State",Am,N,F,0-5
Th,Th-232,Rice,Oryza sativa,Grains,4.80E-01,5.50E+00,1.20E+01,Malaysia,"Kampung Sakan, Kedah State",Am,N,F,0-5
K,K-40,Rice,Oryza sativa,Grains,1.20E+00,9.20E+01,7.70E+01,Malaysia,"Kampung Sakan, Kedah State",Am,N,F,0-5
